name,series,attioStage,hubStage,hubTags,expectedStage,expectedTags,hubSetStage,hubAddTags,attioNeeds,expectedWhy,attioRecordId,key
Actively AI,Series B,Target,new,,Qualified,radar,qualified,radar,Qualified,"Series B with a Top 10 investor (in mandate at B+, and just raised)",307d4931-b5b6-4e2c-a1b0-995c9776d274,actively
AdvanCell,Series D,Radar,,,Qualified,,qualified,,Qualified,above Series B with a Tier 1 (33) investor,797ff19f-bc25-406d-9a8a-45d1fa464149,advancell
Advanced Manufacturing Company of America,Series B,Pipeline,qualified,radar,Qualified,radar,,,Qualified,"Series B with a Top 10 investor (in mandate at B+, and just raised)",7c459807-6e0f-41a6-929e-fa2fc6fe1b34,amca
Anthropic,Series H,Qualified,,,Qualified,,qualified,,,above Series B with a Tier 1 (33) investor,d665a872-223a-427a-b381-7a64fb6d3731,anthropic
Castelion,Series C,Pipeline,pipeline,,Qualified,,,qualified,Qualified,above Series B with a Tier 1 (33) investor,e886cf91-7ddd-4bc9-aa77-5c0c2eac6eb3,castelion
Chai Discovery,Series C,Radar,qualified,,Qualified,,,,Qualified,above Series B with a Tier 1 (33) investor,ca8e5bed-4b04-47d5-b235-828fa2c9f323,chaidiscovery
Console,Series A,Pipeline,pipeline,,Radar,,,radar,Radar,below Series B with a Top 10 investor,9a2a3634-0127-4758-aba2-7211ac25a1e4,console
E2B,Early Stage VC,Watchlist,watchlist,,Radar,,,radar,Radar,below Series B with a Top 10 investor,a9a4e084-fd73-4c3d-8fac-d687955f344d,e2b
ElevenLabs,Series D,Pipeline,pipeline,,Qualified,,,qualified,Qualified,above Series B with a Tier 1 (33) investor,d2bb8c77-17a8-4368-92e3-73d40add8c69,elevenlabs
Float.tech,Series A,Pipeline,pipeline,radar,Radar,,,,Radar,below Series B with a Top 10 investor,16e6c606-fa9e-466f-832c-6098007e862c,float
Forus (Healthcare Technology Systems),Series B,Watchlist,watchlist,radar,Qualified,radar,,qualified,Qualified,"Series B with a Top 10 investor (in mandate at B+, and just raised)",43ebbeee-6839-4cd3-b52a-62d63daa0db4,forus
Glow,Series B,Qualified,radar,radar,Qualified,radar,,qualified,,"Series B with a Top 10 investor (in mandate at B+, and just raised)",19e76371-be52-4cb1-9118-75fd1c82506f,glow
Hadrian,Series D,Qualified,pipeline,,Qualified,,,qualified,,above Series B with a Tier 1 (33) investor,531c570a-ba0c-465c-931c-5ff045eaf196,hadrian
Harvey,Series F,Target,new,,Qualified,,qualified,,Qualified,above Series B with a Tier 1 (33) investor,9aacbedb-3789-4913-bc51-0e09815d1525,harvey
Helsing,Series E,Qualified,,,Qualified,,qualified,,,above Series B with a Tier 1 (33) investor,4d60264b-d5ae-48a6-85e0-67be4583cfed,helsing
Higgsfield,Series B,Pipeline,pipeline,,Qualified,radar,,"qualified, radar",Qualified,"Series B with a Top 10 investor (in mandate at B+, and just raised)",6795dffc-8784-47b9-8660-ff38e4a60cd1,higgsfield
