"Record ID","Record","Associated company > Domains","Series","Associated company > Description","Lead Investors > Name","New Investors > Name","Investors > Name","Access","Deal stage","""Deal stage"" Changed At","""Deal stage"" Previous Values","Source","Deal Size","Post Valuation","Deal Date","Investors > Team","Associated company > Team > Name","Investors > Domains"
"9a2a3634-0127-4758-aba2-7211ac25a1e4","Console","console.com","Series A","Developer of artificial intelligence (AI) powered information technology agents designed to automate help desk systems. The company offers trainable AI agents to handle IT requests, application access requests, and group access management, enabling organizations to empower their technology teams by automating part of their workflow.",,,"Thrive Capital,DST Global,SVA,Abstract,Ramp,Box,Palo Alto Networks,Quora,Zeal Talent Ventures",,"Pipeline","2026-08-03T19:22:47Z","Qualified","ID8 Investments","22999996","157000007","2026-08-03",,,"thrivecap.com,dst-global.com,svangel.com,abstract.com,ramp.com,box.com,paloaltonetworks.com,quora.com,zeal.ventures"
"0810b079-ec18-42ed-9bb2-91f9255a37b6","Antora Energy","antora.com","Series C","Developer of modular thermal batteries designed to power always-on industrial operations with low-cost renewable energy. The company's batteries store energy as heat in carbon blocks and provide heat and power for industrial facilities, data centers, and the grid, enabling organizations to use stored energy for their operations.","Eclipse,G2 Venture Partners","Activate Capital Partners,BlackRock,Eclipse,G2 Venture Partners,Liberty Mutual Strategic Ventures,Ribbit Capital,Salesforce Ventures,StepStone Group,Westly Group","Activate Capital Partners,BlackRock,Breakthrough Energy,Eclipse,G2 Venture Partners,Impact Science Ventures,Liberty Mutual Strategic Ventures,Lowercarbon Capital,Ribbit Capital,Salesforce Ventures,StepStone Group,Westly Group,Trust Ventures",,"Qualified","2026-08-03T14:02:23Z","","ID8 Investments","550000000",,"2026-07-30","Marshall Merriman,Natalia Martinez",,"activatecap.com,blackrock.com,breakthroughenergy.org,eclipse.capital,g2vp.com,impactscience.vc,lmsv.vc,lowercarbon.com,ribbitcap.com,salesforceventures.com,stepstonegroup.com,westlygroup.com,trustventures.com"
"4247a632-4020-451c-8722-449c3120b8d0","Inforcer","inforcer.com","Series C","Developer of a cloud-based management platform designed to simplify multi-tenant administration, security policy management, and compliance monitoring. The company's platform offers centralized policy deployment, multi-tenant management, security configuration monitoring, compliance assessments, user and group management, policy backup, and reporting capabilities, enabling managed service providers to standardize Microsoft environments, reduce administrative effort, and maintain consistent security and compliance.","Insight Partners","Insight Partners","Dawn Capital,Insight Partners,Meritech Capital",,"Qualified","2026-08-03T14:05:36Z","","ID8 Investments","48940000","388030000","2026-07-30","Brad Fiedler",,"dawncapital.com,insightpartners.com,meritechcapital.com"
"7454af45-c000-4a9a-8657-5d36fcb4e6ba","K2 Space","k2space.com","Series D","Developer of aerospace hardware products designed for space architecture. The company specializes in satellite buses for spacecraft, providing power and propulsion, enabling defense, commercial, and scientific space operators to deploy advanced payloads in low Earth orbit, medium Earth orbit, geostationary orbit, and cislunar space with greater speed and flexibility.","IconiQ,Kleiner Perkins","ARK Investment Management,CapitalG,Kleiner Perkins,Sands Capital,Spark Capital","Altimeter,ARK Investment Management,CapitalG,IconiQ,Kleiner Perkins,Lightspeed Venture Partners,Sands Capital,Spark Capital,T. Rowe Price",,"Qualified","2026-08-03T14:05:44Z","","ID8 Investments","500000000","6800000000","2026-07-30",,,"altimeter.com,ark-invest.com,capitalg.com,iconiq.com,kleinerperkins.com,lsvp.com,sandscapital.com,sparkcapital.com,troweprice.com"
"a33bbc68-9b61-4b31-90e2-5c98fc181a0f","Simile","simile.com","Series B","Developer of an AI-driven human behavior simulation platform designed to help organizations anticipate how people respond to change. The company offers enterprise simulation workflows that use generative agents anchored in a nationally representative panel to segment sentiment, test concepts, validate design choices, and generate rapid behavioral insights, enabling enterprises and public organizations to reach niche populations, de-risk decisions, and act on empirically grounded forecasts of future responses.","Greenoaks","CVS Health Ventures Page,Factory Capital (Los Angeles),Greenoaks","A* Capital,Bain Capital Ventures,CVS Health Ventures Page,Definition Capital,Factory Capital (Los Angeles),Greenoaks,HANABI,Index Ventures",,"Radar","2026-08-03T14:06:29Z","","ID8 Investments","200000000","2000000000","2026-07-30",,,"a-star.co,baincapitalventures.com,cvshealthventures.com,definitioncap.com,thefactoryhq.com,greenoaks.com,hanabi.com,indexventures.com"
"daebba47-3a9d-4bad-8539-066783dc135c","DataBahn","databahn.ai","Series B","Developer of a security-opinionated data pipeline platform designed to give organizations full control over how data is ingested, enriched, and routed. The company uses artificial intelligence (AI) to support real-time processing at scale across security, IT, and observability data, decoupling teams from costly proprietary ecosystems, enabling security and IT professionals to reduce noise, improve detections, and modernize their technology stack with flexibility.","Insight Partners","Insight Partners","Forgepoint Capital,GTM Capital,Insight Partners,S3 Ventures",,"Radar","2026-08-03T14:04:43Z","","ID8 Investments","40000000",,"2026-07-30","Brad Fiedler",,"forgepointcap.com,gtm-capital.com,insightpartners.com,s3vc.com"
"3c49ab5b-ed4d-4aba-9e93-b05c291855fa","Onyx","onyx.security","Series B","Developer of an enterprise AI security platform designed to provide visibility, governance, and protection for organizations deploying AI agents. The company offers agent discovery and cataloging, policy enforcement, risk identification, real-time monitoring and control of agent actions, incident response protocols, and integration with existing security stacks, enabling enterprises to manage AI agent operations and compliance across diverse environments.","Bessemer Venture Partners","Bessemer Venture Partners,FirstMark,TCV,Vintage Investment Partners","Bessemer Venture Partners,Conviction,Cyberstarts,FirstMark,G Squared,Quantum Light,TCV,Vintage Investment Partners",,"Radar","2026-08-03T14:05:59Z","","ID8 Investments","113000000","640000000","2026-07-29",,,"bvp.com,conviction.com,cyberstarts.com,firstmark.com,gsquared.com,quantumlightcapital.com,tcv.com,vintage-ip.com"
"543be52c-7e38-423f-b0e5-fee75c1ecd8f","Etched","etched.com","Series C","Developer of rack-scale artificial intelligence inference hardware designed to deliver high-performance computing for production workloads. The company's hardware provides an order-of-magnitude improvement in tokens and tokens per watt through a purpose-built system architecture that supports dense models, sparse mixture-of-experts models, diffusion models, and additional model types, enabling organizations with demanding inference workloads to achieve faster, more cost-efficient artificial intelligence processing at scale.","Sequoia Capital","Andreessen Horowitz,Argo,Diffusion Capital Partners,Diffusion ONE,Sequoia Capital,SK hynix","Andreessen Horowitz,Argo,Diffusion Capital Partners,Diffusion ONE,Jane Street,Sequoia Capital,SK hynix",,"Qualified","2026-07-29T15:35:19Z","Qualified,Pipeline,Qualified,Radar","ID8 Investments","300000000","10300000000","2026-07-24","Michelle Volz,Alfred Lin",,"a16z.com,argosrl.eu,dcp.vc,diffusiononefund.com,janestreet.com,sequoiacap.com,skhynix.com"
"5ac2bf9b-ddd1-4652-9580-37c00c414d92","Atoms","atoms.co",,"Operator of a portfolio of physical automation companies intended to digitize industrial and physical world operations. The company builds and oversees specialized robotic and automated systems across food production, mining, and transport sectors, developing the underlying infrastructure, real estate, and artificial intelligence needed to run each venture, enabling industries to reduce dependence on human labor and operate with greater efficiency at scale.","Andreessen Horowitz","A* Capital,Abstract,Alpha Square Group,Andreessen Horowitz,Bain Capital,Chemistry,Fifth Wall,K5,Opulentia,SVA,Uber","A* Capital,Abstract,Alpha Square Group,Andreessen Horowitz,Bain Capital,Chemistry,Fifth Wall,K5,Opulentia,SVA,Uber",,"Radar","2026-07-29T15:53:01Z","Radar,Invested,Radar,Qualified","ID8 Investments","1700000000",,"2026-07-23","Connor McKnight,Michelle Volz,Jamison Hill,Faraz Fatemi,Madeline Dufour,Tramy Nguyen,Samantha Tomaszewski,Jess Sumapid,Bryan Baum,Michael Kives",,"a-star.co,abstract.com,alphasquaregroup.com,a16z.com,baincapital.com,chemistry.vc,fifthwall.com,k5global.com,opulentia.vc,svangel.com,email-support.uber.com"
"19e76371-be52-4cb1-9118-75fd1c82506f","Glow (Network Management Software)","glow.io","Series B","Developer of an endpoint security software designed to protect modern workspaces from evolving threats. The company's software utilizes specialized agents to create a single source of truth across devices and software while autonomously preventing incidents within defined guardrails, enabling enterprise security teams to establish a trusted living inventory of all endpoints and automate the remediation of critical security issues at scale.","Cyberstarts,Greenoaks,Redpoint Ventures,Sequoia Capital","Holly Ventures,Lux Capital,Operator Collective 🔆,Redpoint Ventures,Swish Ventures","Cyberstarts,Greenoaks,Holly Ventures,Index Ventures,Lux Capital,Operator Collective 🔆,Redpoint Ventures,Sequoia Capital,Swish Ventures",,"Qualified","2026-07-27T18:07:41Z","","ID8 Investments","100000000","1200000000","2026-07-22","Tomasz Tunguz,Alfred Lin",,"cyberstarts.com,greenoaks.com,hollyventures.com,indexventures.com,luxcapital.com,operatorcollective.com,redpoint.com,sequoiacap.com,swish.vc"
