category,id,current_title,actual_map_title,note
AI Agents,TOx4XdMkFcAqCnhf1fAh,Agentic Commerce: The Rise of the Delegated Buyer,Agentic Commerce Market Map,
AI Agents,RZ9SCrP0xLDZEe0PpWZj,AI Agent App & Infrastructure Market Map,(no visible title),chart has no printed title — leave as-is
AI Agents,mITtExN31iG0hf4tD0g8,From Click to Command: The Shift to Agentic Payments,Agentic Payments: Where Is the Opportunity for Startups?,
AI Agents,1kI3h7WlZFMKgIPMuCTf,IAM in the Age of AI Agents,Increasing Enterprise Security Capability Maturity,
AI Agents,FXF8VRDQ5xCGab4xKmmT,The AI Agent Market Map,The AI Agent Market Map (400+ promising companies across core enterprise use cases & industry applications),"already correct, has a subtitle too"
AI Agents,1T8WL3O8Xs1TGtWKGM1e,Your Data Agents Need Context,Data Agent Market Map,
AI Compute & Data Centers,5c2HA1300lhhwpGdR5TV,AI Infrastructure: Compute — Sizing the Market,Our View on AI Infrastructure,
AI Compute & Data Centers,RJZwsa9MUHBM1VDtxMz2,"ClusterMAX 2.0 Market View, November 2025",AI Neocloud Providers by Type,
AI Compute & Data Centers,1nFW0Hcr3PSHevA1Svyr,Roadmap: The AI Data Center Stack,The AI Data Center Stack,
AI Compute & Data Centers,cM0fVlK4yccMVQpYUQxq,The Big Data Center Squeeze,AI in Datacenters,
AI Compute & Data Centers,uzIe2587YUy31zRR3aMw,The Data Center Value Chain Market Map,The Data Center Value Chain Market Map,already correct
AI Compute & Data Centers,oqa1XB7OMvBdx8vbGtyE,The InfraRed Report 2026,(no image uploaded),"this entry has no image in GCS at all — separate issue from titles, flagged in the original corrections research as a bot-blocked/whole-PDF source"
AI Infrastructure,1LhYJTwNJzlNKSnidjkf,AI Infrastructure,(no visible title),chart has no printed title — leave as-is
AI Infrastructure,lvKS5Z1vzvvxcOv753Jl,AI Infrastructure Roadmap: Five Frontiers for 2026,Five Frontiers for the Next Gen of AI Infrastructure in 2026,
AI Infrastructure,esaNXOzRaG6MAuh5xpMM,Roadmap: AI Infrastructure,The New Data + AI Infrastructure Market Map,
AI Infrastructure,EeDZs6s7oneSoIOfhA9Z,The Continual Learning Startup Landscape,Continual Learning Startup Landscape,"near-identical, just drop leading ""The"""
AI Infrastructure,G5AFqsNRO9jvH4JlLzkB,The Duality of Infrastructure Software Investing in an AI World,"""Infra of AI"" Market",
AI Infrastructure,VHtuXSG0Fji6yTqmxIcH,The Rise of AI Agent Infrastructure,Emerging AI Agents Infrastructure,"NOTE: Madrona reused this exact title on a 2nd, different chart too (wtsMFvlzGnJcUltLZRMc) — visually confirmed these are two distinct charts, not a duplicate-image bug. Consider a distinguishing suffix like ""(June 2024)"" when renaming."
Content Generation,w9ue9ezZy5O2fbzSXWTV,AI Creative Market Map: Tools of the New Craft,AI Creative Market Map — Q2 2026,
Content Generation,fffaH385JJugDBiy4RfU,AI Image Generation,(no visible title),chart has no printed title — leave as-is
Content Generation,eECfcSSAZv0I10RjdQc5,Content Generation & Editing,Content Generation & Content Editing,"near-identical, minor wording diff"
Cross-Industry Apps,5GdjoQgGY4PWIc9VnxnH,AI and the End of the Productivity Bundle,AI-Native Employee Productivity Application Landscape,
Cross-Industry Apps,MhlKquHN7HcuduoCc4HY,AI Enterprise Market Map: Cutting Through the Hype,AI Enterprise Application Snapshot,
