name,series,band,attioStage,hubStage,expectedWhy,key
Aalyria,Series B,b,Watchlist,watchlist,Series B with a Tier 1 (33) but no Top 10 investor,aalyria
Aikido Security,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,aikido
Arch,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,arch
Attentive (Business/Productivity Software),Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,attentive
Avoca,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,avoca
Blackbox,Series B,b,Pipeline,pipeline,Series B with no Tier 1 (33) or Top 10 investor,blackbox
BNTO,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,bnto
Celero,Series B,b,Qualified,qualified,Series B with no Tier 1 (33) or Top 10 investor,celero
Cerby,Series B,b,Qualified,qualified,Series B with no Tier 1 (33) or Top 10 investor,cerby
Chemify,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,chemify
ClimAct Systems,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,climact-systems
Consensus.app,,unknown,Pipeline,pipeline,series unknown -- cannot place from the rule,consensus
Convex,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,convex
Copperlane,Series A,below_b,Pipeline,pipeline,below Series B with no Top 10 investor,copperlane
Corgi,Series B,b,Watchlist,watchlist,Series B with a Tier 1 (33) but no Top 10 investor,corgi
Cosmic Labs,Series A,below_b,Pipeline,pipeline,below Series B with no Top 10 investor,cosmiclabs
Courier Health,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,courierhealth
CuspAI,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,cusp
DataBahn,Series B,b,Radar,qualified,Series B with a Tier 1 (33) but no Top 10 investor,databahn
Databento,Series B,b,Qualified,,Series B with a Tier 1 (33) but no Top 10 investor,databento
DeepInfra,Series B,b,Pipeline,pipeline,Series B with no Tier 1 (33) or Top 10 investor,deepinfra
Depthfirst,Series B,b,Pipeline,pipeline,Series B with no Tier 1 (33) or Top 10 investor,depthfirst
Dili,Series A,below_b,Pipeline,pipeline,below Series B with no Top 10 investor,dili
Doss,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,doss
Draftwise,,unknown,Pipeline,pipeline,series unknown -- cannot place from the rule,draftwise
Eridu,Series B,b,Pipeline,pipeline,Series B with no Tier 1 (33) or Top 10 investor,eridu
Firecrawl,Series B,b,Pipeline,pipeline,Series B with no Tier 1 (33) or Top 10 investor,firecrawl
Function Health,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,functionhealth
Fundamental Research Labs,Series B,b,Pipeline,pipeline,Series B with no Tier 1 (33) or Top 10 investor,fundamentalresearchlabs
Fyxer AI,,unknown,Pipeline,pipeline,series unknown -- cannot place from the rule,fyxer
General Intuition,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,generalintuition
Generalist,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,generalistai
General Matter,Series B,b,Pipeline,pipeline,Series B with no Tier 1 (33) or Top 10 investor,generalmatter
GenLogs,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,genlogs
Gimlet Labs,Series B,b,Pipeline,pipeline,Series B with a Tier 1 (33) but no Top 10 investor,gimletlabs
GreenLite Technologies,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,greenlite
Harmonic Security,Series B,b,Pipeline,pipeline,Series B with no Tier 1 (33) or Top 10 investor,harmonic
Heron Power,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,heronpower
Pocket,,unknown,Radar,,series unknown -- cannot place from the rule,heypocket
Humanly,Series B,b,Target,new,Series B with no Tier 1 (33) or Top 10 investor,humanly
Instinct,,unknown,Pipeline,pipeline,series unknown -- cannot place from the rule,instinct
Jump,Series B,b,Qualified,new,Series B with a Tier 1 (33) but no Top 10 investor,jump
Liberate Innovations,Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,liberateinc
Lighter (Financial Software),Series B,b,Qualified,qualified,Series B with a Tier 1 (33) but no Top 10 investor,lighter
Lila Sciences,Series B,b,Pipeline,pipeline,Series B with a Tier 1 (33) but no Top 10 investor,lila
Lyzr.ai,Series B,b,Pipeline,pipeline,Series B with no Tier 1 (33) or Top 10 investor,lyzr
